"AtcoCode","OperatorRef","NationalCoachCode","Name","NameLang","LongName","LongNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"3100T748032","","900069142A","Catcleugh","en","Catcleugh: Reservoir Cottages","en","U",374851,603332,"","",0,""
"3100T748033","","900069142C","Catcleugh","en","Catcleugh: opp Reservoir Cottages","en","U",374862,603343,"","",0,""
"3100T763028","","900069152A","Byrness","en","Byrness: opp Estate Road End","en","U",376410,602849,"","",0,""
"3100T764028","","900069152C","Byrness","en","Byrness: Estate Road End","en","U",376435,602819,"","",0,""
"3100T780015","","900069162C","Byrness","en","Cottonshopeburn: Bus Stop","en","U",378022,601546,"","",0,""
"3100T782012","","900069162A","Byrness","en","Cottonshopeburn: opp Bus Stop","en","U",378265,601202,"","",0,""
"3100T996529","","900069032A","Berwick-upon-Tweed","en","Berwick-upon-Tweed: o/s The Coffee Shop","en","U",399707,652951,"","",0,""
"3100T997529","","900069032C","Berwick-upon-Tweed","en","Berwick-upon-Tweed: o/s Garage","en","U",399727,652956,"","",0,""
"3100U053419","","900098295","Beal (Northumberland)","en","Beal (Northumberland): West Mains Bus Stop","en","U",405386,641974,"","",0,""
"3100U108339","","900098294","Belford (Northumberland)","en","Belford (Northumberland): Market Cross Bus Stop","en","U",410888,633992,"","",0,""
"3100U179348","","900098301","Bamburgh","en","Bamburgh (Northumberland): The Grove Bus Stop","en","U",417940,634847,"","",0,""
"3100U219320","","900098300","Seahouses","en","Seahouses (Northumberland): Memorial Bus Stop","en","U",421953,632059,"","",0,""
"3100U265044","","900098296","Amble by the Sea","en","Amble (Northumberland): Fourways, Church Street","en","U",426514,604433,"","",0,""
"3100U418613F","","900069012","Alnwick","en","Alnwick: Bus Stn","en","U",418526,613257,"","",0,""
"3100Y706640","","900098303","Haltwhistle","en","Haltwhistle: Market Place Bus Stop","en","U",370698,564082,"","",0,""
"3100Y828981","","900069182A","Rochester (Northumberland)","en","Rochester: Redesdale Arms","en","U",382854,598126,"","",0,""
"3100Y829981","","900069182C","Rochester (Northumberland)","en","Rochester: opp Redesdale Arms","en","U",382866,598110,"","",0,""
"3100Y831979","","900069172A","Rochester (Northumberland)","en","Rochester (Village): Cafe","en","U",383151,597973,"","",0,""
"3100Y832979","","900069172C","Rochester (Northumberland)","en","Rochester (Village): opp Cafe","en","U",383203,597960,"","",0,""
"3100Y844643","","900098304","Haydon Bridge","en","Haydon Bridge: Bridge End Bus Stop","en","U",384472,564345,"","",0,""
"3100Y885930","","900069112A","Otterburn (Northumberland)","en","Otterburn: opp Lloyds TSB Bank","en","U",388591,593090,"","",0,""
"3100Y885931","","900069112C","Otterburn (Northumberland)","en","Otterburn: Percy Arms","en","U",388590,593099,"","",0,""
"3100Y93563A","","900098305","Hexham","en","Hexham: Bus Station","en","U",393735,563938,"","",0,""
"3100Y935931","","900069192","Elsdon","en","Elsdon: Road End","en","U",393556,593182,"","",0,""
"3100Y988856","","900069202A","Knowesgate","en","Knowesgate: Filling Stn","en","U",398884,585652,"","",0,""
"3100Y989643","","900098306","Corbridge","en","Corbridge (Northumberland): Angel Inn Bus Stop","en","U",398997,564330,"","",0,""
"3100Y989856","","900069202C","Knowesgate","en","Knowesgate: opp Filling Stn","en","U",398909,585625,"","",0,""
"3100Y993846","","900069212","Kirkwhelpington","en","Kirkwhelpington: Road End","en","U",399382,584621,"","",0,""
"3100Z035817","","900069124","Capheaton","en","Capheaton: Road End","en","U",403521,581752,"","",0,""
